Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
99,tt2930604,2019-04-14,2019-04-14,,Star Wars: Rebels,https://www.imdb.com/title/tt2930604/,tvSeries,8.0,22,2014,"Animation, Action, Adventure, Drama, Family, Fantasy, Mystery, Sci-Fi",37363,2014-08-10,,,
100,tt1028532,2019-04-25,2019-04-25,,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,movie,8.1,93,2009,"Biography, Drama, Family",270857,2009-06-13,Lasse Hallström,,
101,tt0347149,2019-05-25,2019-05-25,,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",366224,2004-09-05,Hayao Miyazaki,,
102,tt5834204,2019-05-31,2019-05-31,,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,tvSeries,8.4,60,2017,"Drama, Sci-Fi, Thriller",209376,2017-04-24,,,
103,tt1740299,2019-06-07,2019-06-07,,The Man in the High Castle,https://www.imdb.com/title/tt1740299/,tvSeries,8.0,60,2015,"Drama, Sci-Fi, Thriller",95637,2015-01-13,,,
104,tt0421715,2019-06-10,2019-06-10,,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,movie,7.8,166,2008,"Drama, Fantasy, Romance",622752,2008-12-10,David Fincher,,
105,tt0093870,2019-06-17,2019-06-17,,RoboCop,https://www.imdb.com/title/tt0093870/,movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",247252,1987-07-17,Paul Verhoeven,,
106,tt7221388,2019-06-21,2019-06-21,,Cobra Kai,https://www.imdb.com/title/tt7221388/,tvSeries,8.6,30,2018,"Action, Comedy, Drama, Sport",135588,2018-04-30,,,
107,tt0130236,2019-06-23,2019-06-23,,Samurai Cop,https://www.imdb.com/title/tt0130236/,movie,4.6,96,1991,"Action, Crime, Thriller",8317,1991-11-30,Amir Shervan,,
108,tt0250258,2019-06-30,2019-06-30,,Das Experiment,https://www.imdb.com/title/tt0250258/,movie,7.7,120,2001,"Drama, Thriller",92837,2001-03-07,Oliver Hirschbiegel,,
109,tt1063669,2019-06-30,2019-06-30,,Die Welle,https://www.imdb.com/title/tt1063669/,movie,7.6,107,2008,"Drama, Thriller",106709,2008-01-18,Dennis Gansel,,
110,tt0454876,2019-07-10,2019-07-10,,Life of Pi,https://www.imdb.com/title/tt0454876/,movie,7.9,127,2012,"Adventure, Drama, Fantasy",606955,2012-09-28,Ang Lee,,
111,tt1504320,2019-07-10,2019-07-10,,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",662134,2010-09-06,Tom Hooper,,
112,tt1798709,2019-07-10,2019-07-10,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",577209,2013-10-12,Spike Jonze,,
113,tt0080120,2019-07-17,2019-07-17,,The Warriors,https://www.imdb.com/title/tt0080120/,movie,7.6,92,1979,"Action, Crime, Thriller",99407,1979-02-01,Walter Hill,,
114,tt0343818,2019-07-19,2019-07-19,,"I, Robot",https://www.imdb.com/title/tt0343818/,movie,7.1,115,2004,"Action, Mystery, Sci-Fi, Thriller",521224,2004-07-07,Alex Proyas,,
115,tt0120611,2019-07-21,2019-07-21,,Blade,https://www.imdb.com/title/tt0120611/,movie,7.1,120,1998,"Action, Horror, Sci-Fi",260986,1998-08-19,Stephen Norrington,,
116,tt2243973,2019-07-23,2019-07-23,,Hannibal,https://www.imdb.com/title/tt2243973/,tvSeries,8.5,44,2013,"Crime, Drama, Horror, Mystery, Thriller",242535,2013-04-04,,,
117,tt0773262,2019-07-23,2019-07-23,,Dexter,https://www.imdb.com/title/tt0773262/,tvSeries,8.6,53,2006,"Crime, Drama, Mystery, Thriller",695506,2006-10-01,,,
118,tt2094262,2019-07-23,2019-07-23,,Da Vinci's Demons,https://www.imdb.com/title/tt2094262/,tvSeries,8.0,60,2013,"Adventure, Biography, Drama, Fantasy, History, Mystery, Romance",75431,2013-04-12,,,
119,tt3647998,2019-07-23,2019-07-23,,Taboo,https://www.imdb.com/title/tt3647998/,tvSeries,8.4,59,2017,"Drama, Mystery, Thriller",123348,2017-01-07,,,
120,tt0245429,2019-07-23,2019-07-23,,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,movie,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",709154,2001-07-20,Hayao Miyazaki,,
121,tt1220719,2019-07-23,2019-07-23,,Ip Man,https://www.imdb.com/title/tt1220719/,movie,8.0,106,2008,"Action, Biography, Drama, History",218984,2008-12-12,Wilson Yip,,
122,tt5016504,2019-08-05,2019-08-05,,Preacher,https://www.imdb.com/title/tt5016504/,tvSeries,7.9,60,2016,"Adventure, Drama, Fantasy, Horror, Mystery",71963,2016-03-14,,,
